Station,Model,Deployment Date,Deployment Time,Latitude,Longitude,WMO,Serial Number
HL_07,PROVOR,2024-04-12,20:42:00,43.4698,-61.4349,4902622,P41305-22CA003
LL_09,PROVOR,2024-04-27,21:23:00,43.4721,-57.5224,4902676,P41305-23CA003
