IMEI,S/N,WMO,Date,Event,Station,Time Magnet Removal (UTC),Deployment Time (UTC),Lat (DD),Lon (DD)
30012501-0910310,P41305-23CA001,4902674,10/14/2024,117,HL_07,22:07:01,22:21:38,42 28.552900,61 25.567863
30012501-0912280,P41305-23CA005,4902678,10/16/2024,129,M2300,15:11:13,15:19:21,43 12.340263,57 36.792078
