Station,Model,Deployment Date,Deployment Time,Latitude,Longitude,WMO,Serial Number
HL_07,ARVOR,2025-04-06,11:40:00,42.4705,-61.4103,4902699,AI2600-24CA008
LL_09,ARVOR,2025-04-11,10:58:00,43.4719,-57.4984,4902702,AI2600-24CA011
